Episódio;Título;Descrição
S03E32;Audiodescrição rima com tradução de muitas maneiras além da sonoridade — Ana Julia Perrotti;Venha conhecer as bases da audiodescrição, essa modalidade de tradução intersemiótica que ajuda a compreensão plena de produtos audiovisuais para pessoas com deficiência visual, cegas e com baixa visão, idosos, estrangeiros, pessoas com dislexia e pessoas com visão preservada ou corrigida momentaneamente privadas da visão. Além de ser um mercado de trabalho em franca expansão, carente de bons profissionais e de especialistas dedicados, a audiodescrição pode ser uma especialização frutífera e gratificante para tradutores, intérpretes, narradores e demais profissionais das páreas de teatro, cinema, TV e editoras.
S03E33;Traduzindo jogos de tabuleiro — Juliana Gallo;Conheça os bastidores do mundo da tradução dos jogos de tabuleiro. Nesta palestra, vou compartilhar minha experiência na área e mostrar como é o processo de tradução de um jogo, incluindo os desafios, curiosidades e particularidades.
S03E34;O Fantástico Mundo da Pesquisa Clínica — Kelly Elizeu;A pesquisa clínica é uma área com muita demanda tradutória, mas ainda é um grande mistério para a maioria das pessoas, inclusive os tradutores. Vamos conversar sobre a história e a importância da pesquisa clínica, quais são os aspectos éticos e as regulações que regem os ensaios clínicos atualmente. Traga as suas dúvidas para desmistificar o assunto melhorando, assim, a confiabilidade das fontes de referência terminológica.
S03E35;Que tal aprender como fazer seu próprio glossário?— Ciça Lopes;Com uma ferramenta gratuita e um corpus criado por você, mostrarei como ser mais independente criando sua própria fonte de pesquisa para determinada área de especialidade. Além disso, você verá como a Terminologia, a Fraseologia e a Linguística de Corpus nos auxiliam no cotidiano da tradução!
S03E36;Notas: muito além de símbolos — Érika Lessa;A interpretação consecutiva parece inofensiva para quem tem pouco treinamento, mas pode tirar noites de sono de intérpretes experientes. Muitos acabam lançando mão da interpretação intermitente, em vez da consecutiva, justamente para evitar tropeços e distrações causados por notas inadequadas. Nessa apresentação, veremos que o modo consecutivo não precisa ser um bicho de sete cabeças e nem é necessário ser especialista em taquigrafia para que suas notas sejam ferramentas úteis para uma devolutiva de qualidade.
S03E37;Localização de jogos de tabuleiro — Ivar Jr e Luciana Boldorini;"Nesta palestra, os tradutores Ivar P. Junior e Luciana Galeani Boldorini falam sobre sua atuação na área de localização de jogos de tabuleiro, oferecendo uma visão geral sobre o mercado, as características do texto e do trabalho, o processo de produção de um jogo localizado e uma análise sobre as funções que tradutores e outros profissionais do texto podem exercer na cadeia de produção dos boardgames. Também veremos dicas sobre como e por onde começar a carreira na área, as competências necessárias e alguns ""causos"" curiosos dos projetos em que os dois participaram."
S03E38;Tradução automática na tradução técnica? Testamos uma abordagem — Carolina Bisson;Na era da inteligência artificial, muito se fala sobre a adoção de sistemas de tradução automática na tradução técnica com o intuito de aumentar a produtividade do tradutor, sem comprometer a qualidade da tradução. Nesse cenário, será que alguma abordagem já foi realmente colocada à prova? Quais foram os resultados? Nesta palestra, apresento a abordagem que testei em minha pesquisa de mestrado e os resultados obtidos ao usar um sistema de tradução automática adaptativa aliado ao gerenciamento de terminologia na tradução técnica da área de finanças.
S03E39;Tradução de patentes: por onde começar? — Beatriz Araujo;O que é uma invenção? O que é uma patente? Qual a relação entre invenção e patente? As patentes são fontes riquíssimas de pesquisa para tradutores. Mas poucos conhecem. E a demanda de tradução no campo das patentes é expressiva para muitos idiomas. Nessa palestra vamos conversar sobre a importância, as peculiaridades e o conhecimento necessário para um tradutor iniciar sua jornada no mundo das patentes.
S03E40;O papel da revisão na tradução — Beatriz Santana;A revisão de texto é uma etapa entre a tradução e a edição final do texto traduzido. Para obter sucesso na revisão de textos traduzidos para a língua portuguesa, além de conhecer diversos recursos tecnológicos e dominar os mecanismos linguísticos, é importante ter proficiência multilíngue para adequar ou adaptar o texto ao público-alvo da língua destino, bem como realizar uma análise comparada com o texto original.
S03E41;Em busca da naturalidade — Petê Rissatti;Nesta palestra/bate-papo, abordaremos um dos temas mais discutidos na tradução de forma gera: a naturalidade. Com exemplos e alguns exercícios práticos, veremos tópicos como público-alvo, revisão, pesquisa e leitura, em um panorama amplo sobre a busca da naturalidade.
S03E42;Tradutores euprendedores e o relacionamento com o cliente — Rane Souza;Ser tradutor e/ou intérprete exige habilidades quase-ninjas! Você tem que cuidar do marketing, dos impostos, das CAT Tools, dos prazos, da manutenção do seu computador, da licença do Office, da cadeira adequada, de um bom teclado, da visão, da postura, de atualizar seu CV... Ufa! Não é pouco. E veja que só citamos os pontos mais óbvios. Rane Souza, intérprete e tradutora, falará sobre tudo isso e muito mais nessa palestra sobre as pessoas EUpreendedoras.
S03E43;Os desafios da produção editorial de best-sellers — Suelen Lopes;Até chegar à casa dos leitores, os livros estrangeiros passam por uma longa jornada, envolvendo diversos profissionais e departamentos. Como é o processo de tradução e edição de best-sellers? Que desafios o editor precisa enfrentar para realizar um lançamento simultâneo? Por que nem sempre é possível atender a essa demanda? Nessa verdadeira montanha-russa editorial, é de suma importância debater essas questões e repensar as estratégias de produção que levam determinados livros às listas de mais vendidos.
S03E44;Traduzir RPG é sempre um desafio — Jana Bianchi;"Às vezes um miconídeozinho, às vezes um dragão ancião (ou coisas piores), mas sempre um desafio. Nesta palestra, vou falar sobre a minha experiência traduzindo RPG do ponto de vista de alguém que também traduz prosa (e quadrinhos, e jogos de tabuleiro): quais são as diferenças entre os tipos de tradução? O que dá para aprender com os diferentes processos? Quais as melhores e as piores partes de traduzir RPG? Na área dos ""20 naturais"" das minhas vivências, vou contar como foi trabalhar em projetos de D&D, com seus glossários já pré-estabelecidos e grande fandom. Por outro lado, quando falar das ""falhas críticas"", vou comentar sobre a conversão de unidades (inclusive de dados, socorro), as mirabolâncias para traduzir nomes cheios de trocadilhos, o processo de ter que neutralizar o gênero de quem lê quando as instruções são diretas e a atenção sempre constante para garantir a clareza das informações."
S03E45;Legendagem especializada: foco no gênero institucional — Carol Alfaro;Esta palestra traz reflexões e informações mais específicas sobre o gênero institucional da tradução audiovisual, aquela que é realizada para empresas de diversos ramos e se destina a ensino ou treinamento, promoção, vendas e afins. O que diferencia esse gênero da tradução audiovisual destinada ao entretenimento, tanto em termos do conteúdo quanto do projeto de trabalho e a relação com o cliente? Quais são as características mais adequadas do profissional de tradução para ter sucesso neste campo?
S03E46;Rock’n roll x livros (histórias+idiomas+mistura cultural) ideias = tradutora literária — Amarilis Okida;Uma parte considerável das histórias presentes no cotidiano das pessoas é traduzida, mas esse detalhe costuma passar totalmente despercebido, que maravilha! Sinal de que o trabalho foi bem executado! A apresentação sobre tradução literária visa oferecer um panorama geral da figura do tradutor que atua nesse nicho de mercado e algumas peculiaridades da área, com base nas minhas próprias experiências, desde o primeiro contato com a editora até a entrega do projeto finalizado. Ah, estudos de “causos” não vão faltar!
S04E01;Como é que traduz essa porr@? — Renato Geraldes e Evelise Scapol;Palavrões são uma parte fundamental de qualquer idioma. Depois de se depararem com uma caralhada deles em uma porrada de eventos diferentes, os palestrantes decidiram abordar o assunto para conversar com os ouvintes sobre o palavrão. Por que usamos palavrões? Qual a força de expressão deles? E, mais que isso, quando o orador que estamos interpretando - ou o livro, jogo, documento, campanha, e que estamos traduzindo lança mão desse artifício linguístico, qual deve ser a nossa abordagem? Traduzimos? Atenuamos? Eliminamos? Essa palestra não tem o intuito de estabelecer diretrizes de conduta, mas de debater o uso e o poder do palavrão e como os tradutores/intérpretes podem lidar com ele baseado nas nossas experiências e ideias.
S04E02;Kit de sobrevivência: Vinte dicas pra se manter na tradução — Andressa Gatto;A palestra é um convite para refletir de forma bem sincera sobre vinte ferramentas úteis que profissionais da área de Tradução devem ter, desenvolver e prestar atenção não só para entrarem no mercado, como também para se manterem nele, a despeito de tantas dificuldades que enfrentamos ao longo do caminho.
S04E03;Linguagem inclusiva: gênero, política e linguagem — Ana Elisa Ribeiro;"Desde a escola básica, aprendemos que, em português, masculino e feminino podem ser expressos pelo ""neutro"" masculino. A premissa é a de que estaremos todos e todas contemplados, subsumidos pelo ""o"" e, em tese, satisfeitos. No entanto, há algum tempo vem se desenvolvendo intenso debate sobre questões de gênero que devem ser de fato contempladas pela linguagem, expressando e incluindo o que não é entendido por todos como automático e nem satisfaz a todas as pessoas. Nesta palestra, abordaremos essas questões, contando um pouco das razões e da história desse debate, além de fornecer exemplos de soluções oferecidas por diversos grupos para a ""linguagem inclusiva''."
